review_id,review_title,review_text,star_rating,tag,review_date
24,Verification was straightforward,My documents were checked without any issues. Everything felt well organised. I would happily use the service again.,5,identity_verification,2024-03-10
25,Excellent customer service,I was impressed by how professional the customer service was. The team made the whole process much easier for me. Very satisfied overall.,5,customer_service,2024-05-15
26,Pension transfer was straightforward,I was pleased with how easily the transfer went through. I would recommend them.,5,pension_transfer,2024-04-09
27,Happy with the fee structure,The overall value for money feels good to me. Everything felt well organised. No real complaints from me.,4,fees_charges,2024-04-10
28,Website easy to use,Using the website made managing my pension much easier. I found the app simple to use and reliable. A positive experience all round.,5,website_app,2025-04-04
29,App works really well,Using the website made managing my pension much easier. The information provided was clear. I would recommend them.,5,website_app,2025-07-17
30,Trouble logging in,I have had repeated trouble logging into my account. I came away disappointed.,1,login_access,2024-08-30
31,Forecast tools were useful,The retirement estimate information was presented well. No real complaints from me.,5,retirement_projection,2024-06-17
32,Fine overall,"The withdrawal process was okay overall. It was manageable, just not especially smooth. It worked out in the end, although it felt average. It was fine in the end.",3,withdrawals_retirement,2024-10-30
33,Forecast tool confusing,The retirement projection information was confusing. The estimates were unclear and left me with more questions. I came away disappointed.,1,retirement_projection,2025-08-21
34,Customer service was brilliant,The support team resolved my issue quickly. Very satisfied overall.,5,customer_service,2024-03-10
35,Helpful support team,The team made the whole process much easier for me. Very satisfied overall.,5,customer_service,2024-02-10
36,Transparent charges,The fees seem fair for the service being provided. No real complaints from me.,5,fees_charges,2024-09-24
37,Payments processed fine,Employer contributions appeared as expected and without delay. The information provided was clear. I would recommend them.,5,contributions,2024-11-19
38,Poor customer service,Customer service was disappointing and slow. Not a good experience overall.,1,customer_service,2025-07-04
39,Access problem sorted,The access problem was sorted without much hassle. I would recommend them.,5,login_access,2025-01-13
40,Online account is simple to navigate,I found the app simple to use and reliable. No real complaints from me.,5,website_app,2025-10-31
41,Website needs improvement,The website was confusing and harder to use than it should have been. The process felt more difficult than it needed to be. I came away disappointed.,1,website_app,2024-04-28
42,Happy with fund performance,I have been pleased with how my pension pot has grown. The information provided was clear. A positive experience all round.,5,fund_performance,2025-10-11
43,Disappointing customer service,Responses took too long and the problem was not handled well. I would be hesitant to recommend them.,1,customer_service,2025-03-09
44,Move from old provider was simple,My pension transfer was handled smoothly from start to finish. The information provided was clear. Very satisfied overall.,5,pension_transfer,2025-03-28
45,Support fixed my login issue,Support helped me regain access to the account very quickly. Everything felt well organised. I would happily use the service again.,4,login_access,2024-06-01
46,Pension transfer was straightforward,My pension transfer was handled smoothly from start to finish. The process of moving my old pension was straightforward. A positive experience all round.,5,pension_transfer,2025-01-08
47,Login issue resolved quickly,The access problem was sorted without much hassle. I would recommend them.,5,login_access,2025-07-27
48,Transfer process went well,The process of moving my old pension was straightforward. I would recommend them.,5,pension_transfer,2025-02-26
49,Transfer completed smoothly,The process of moving my old pension was straightforward. A positive experience all round.,5,pension_transfer,2024-09-11
50,Online experience was average,"The app was acceptable, though not especially polished. It more or less did the job. It was acceptable overall.",3,website_app,2025-04-16
51,Online account is simple to navigate,The online experience was smooth and straightforward. The information provided was clear. I would recommend them.,5,website_app,2024-10-12
52,Great service from support,The team made the whole process much easier for me. Everything felt well organised. I was impressed by how professional the customer service was. I would happily use the service again.,5,customer_service,2024-09-28
53,Happy with fund performance,The fund performance has been stronger than I expected. The whole experience felt straightforward. I would happily use the service again.,5,fund_performance,2024-04-28
54,Documents checked quickly,My documents were checked without any issues. It gave me more confidence in managing my pension. A positive experience all round.,5,identity_verification,2024-03-12
55,Great service from support,I was impressed by how professional the customer service was. Very satisfied overall.,5,customer_service,2024-11-30
56,Good returns overall,Returns have looked solid and the information provided was clear. It gave me more confidence in managing my pension. I would happily use the service again.,5,fund_performance,2024-06-27
57,Costs seem too high,The charges seemed disappointing and poor value. Not a good experience overall.,1,fees_charges,2025-08-16
58,Some login friction,"The login process was fine in the end, just not especially smooth. Nothing really stood out either way. It was fine in the end.",4,login_access,2024-06-22
59,Poor customer service,I found the service frustrating and harder than it should have been. I came away disappointed.,1,customer_service,2024-08-28
60,Projection info was clear,I found the pension forecast easy to understand. Everything felt well organised. The retirement estimate information was presented well. I would recommend them.,5,retirement_projection,2024-03-15
61,Transfer was acceptable,"It was fine, just slower than I had hoped. It was manageable, just not especially smooth. A fairly average experience overall.",5,pension_transfer,2025-11-02
62,Retirement withdrawal process was smooth,The process of accessing my pension in retirement was smooth. It gave me more confidence in managing my pension. Taking money from the pension was easier than I expected. No real complaints from me.,5,withdrawals_retirement,2024-05-04
63,Transfer process went well,The process of moving my old pension was straightforward. No real complaints from me.,5,pension_transfer,2025-03-29
64,Pleased with investment performance,The investment performance has given me more confidence in my pension. The information provided was clear. I would happily use the service again.,5,fund_performance,2024-09-22
65,Identity check handled well,The verification process was handled efficiently. I found the ID checks clear and easy to complete. I would happily use the service again.,5,identity_verification,2024-10-19
66,Accessing pension was easy,The retirement withdrawal process was handled clearly and efficiently. Everything felt well organised. Taking money from the pension was easier than I expected. A positive experience all round.,5,withdrawals_retirement,2024-06-05
67,Support team not helpful,Customer service was disappointing and slow. The experience felt poorly managed. Not a good experience overall.,2,customer_service,2025-03-06
68,Retirement estimates easy to understand,The retirement projection was clear and helpful. Everything felt well organised. I would happily use the service again.,5,retirement_projection,2025-02-03
69,Not happy with investment performance,The returns have been weaker than I expected. The experience felt poorly managed. Not a good experience overall.,1,fund_performance,2025-11-15
70,Happy with the fee structure,I was happy with the transparency around charges. No real complaints from me.,5,fees_charges,2025-02-07
71,Pleased with investment performance,The fund performance has been stronger than I expected. The investment performance has given me more confidence in my pension. Very satisfied overall.,5,fund_performance,2024-09-23
72,Good returns overall,Returns have looked solid and the information provided was clear. The investment performance has given me more confidence in my pension. I would recommend them.,4,fund_performance,2025-03-07
73,Projection information not helpful,The retirement projection information was confusing. The process felt more difficult than it needed to be. Not a good experience overall.,1,retirement_projection,2025-10-27
74,Login issue resolved quickly,"I had a login issue at first, but it was resolved quickly. Very satisfied overall.",5,login_access,2024-09-01
75,Strong growth so far,The investment performance has given me more confidence in my pension. Returns have looked solid and the information provided was clear. Very satisfied overall.,5,fund_performance,2024-06-20
76,Pension transfer was straightforward,My pension transfer was handled smoothly from start to finish. I would recommend them.,5,pension_transfer,2025-08-12
77,No trouble logging in now,Support helped me regain access to the account very quickly. The information provided was clear. The access problem was sorted without much hassle. I would recommend them.,5,login_access,2025-09-06
78,Trouble logging in,I have had repeated trouble logging into my account. I would be hesitant to recommend them.,1,login_access,2025-10-25
79,Pension performing well,The fund performance has been stronger than I expected. Returns have looked solid and the information provided was clear. No real complaints from me.,5,fund_performance,2025-04-15
80,Cannot access my account,I was locked out and it took too long to sort out. This needs improvement.,1,login_access,2025-07-05
81,Good digital experience,Using the website made managing my pension much easier. No real complaints from me.,5,website_app,2024-09-08
82,Charges seem fair,The overall value for money feels good to me. It gave me more confidence in managing my pension. No real complaints from me.,5,fees_charges,2024-12-10
83,Transfer was okay,"It was fine, just slower than I had hoped. Nothing really stood out either way. The transfer worked out in the end, but it was a fairly average experience. Nothing terrible, but not especially impressive either.",5,pension_transfer,2025-09-02
84,Projection information not helpful,The retirement projection information was confusing. The projection tools were harder to understand than they should have been. I came away disappointed.,1,retirement_projection,2024-09-03
85,Good returns overall,The investment performance has given me more confidence in my pension. I have been pleased with how my pension pot has grown. No real complaints from me.,5,fund_performance,2024-09-06
86,Pension performing well,Returns have looked solid and the information provided was clear. No real complaints from me.,5,fund_performance,2025-04-09
87,No issues with contributions,Employer contributions appeared as expected and without delay. The information provided was clear. The payment records were easy to understand and everything matched up. A positive experience all round.,5,contributions,2025-05-10
88,Projection info was clear,The projection tools gave me a useful picture of my retirement planning. Very satisfied overall.,5,retirement_projection,2024-01-15
89,Smooth website and app,I found the app simple to use and reliable. Everything felt well organised. A positive experience all round.,5,website_app,2024-05-09
90,Customer service was brilliant,"Customer service was polite, efficient and helpful. Very satisfied overall.",5,customer_service,2024-07-07
91,Transfer delay,The transfer experience was poor and caused unnecessary stress. The process felt more difficult than it needed to be. Not a good experience overall.,1,pension_transfer,2025-10-06
92,Happy with fund performance,I have been pleased with how my pension pot has grown. I would recommend them.,5,fund_performance,2024-09-11
93,Charges seem fair,The cost structure seemed reasonable and clear. I would happily use the service again.,5,fees_charges,2025-01-24
94,Transfer process went well,I was pleased with how easily the transfer went through. A positive experience all round.,5,pension_transfer,2025-09-27
95,Website easy to use,The website was clear and easy to navigate. I would recommend them.,5,website_app,2024-06-26
96,Useful pension forecast,The retirement projection was clear and helpful. It gave me more confidence in managing my pension. I would recommend them.,5,retirement_projection,2024-02-03
97,App works really well,The online experience was smooth and straightforward. A positive experience all round.,5,website_app,2024-09-27
98,Withdrawal process went well,Taking money from the pension was easier than I expected. The information provided was clear. No real complaints from me.,5,withdrawals_retirement,2024-05-25
99,Problems accessing pension,Accessing my pension has been more stressful than expected. This needs improvement.,1,withdrawals_retirement,2024-10-22
100,Difficult to understand retirement estimate,The retirement projection information was confusing. Not a good experience overall.,1,retirement_projection,2025-05-27
101,Not happy with pension forecast,The projection tools were harder to understand than they should have been. The process felt more difficult than it needed to be. Not a good experience overall.,1,retirement_projection,2025-09-10
102,No issues with contributions,My contributions have been processed correctly and clearly shown. Everything felt well organised. Very satisfied overall.,5,contributions,2024-10-02
103,Verification was straightforward,The identity verification process was quick and straightforward. I would recommend them.,5,identity_verification,2024-07-04
104,Pension transfer was straightforward,I was pleased with how easily the transfer went through. No real complaints from me.,5,pension_transfer,2024-11-24
105,Login issue resolved quickly,Getting back into my account was easier than expected. It gave me more confidence in managing my pension. Support helped me regain access to the account very quickly. A positive experience all round.,5,login_access,2025-07-17
106,Transfer completed smoothly,I was pleased with how easily the transfer went through. The whole experience felt straightforward. Very satisfied overall.,4,pension_transfer,2024-01-02
107,Support fixed my login issue,Support helped me regain access to the account very quickly. The whole experience felt straightforward. No real complaints from me.,5,login_access,2025-03-28
108,Helpful retirement projection,I found the pension forecast easy to understand. A positive experience all round.,5,retirement_projection,2025-12-16
109,Frustrating support experience,Customer service was disappointing and slow. I expected much better.,4,customer_service,2024-06-11
110,Employer contribution missing,I noticed problems with how my contributions were recorded. Communication could have been better. I came away disappointed.,1,contributions,2025-04-17
111,Happy with fund performance,I have been pleased with how my pension pot has grown. Returns have looked solid and the information provided was clear. No real complaints from me.,5,fund_performance,2025-05-09
112,Documents checked quickly,My documents were checked without any issues. No real complaints from me.,3,identity_verification,2024-10-09
113,Good digital experience,The online experience was smooth and straightforward. Everything felt well organised. I would happily use the service again.,5,website_app,2025-08-16
114,Happy with the fee structure,I was happy with the transparency around charges. The cost structure seemed reasonable and clear. No real complaints from me.,5,fees_charges,2024-11-25
115,Easy pension transfer,The process of moving my old pension was straightforward. It gave me more confidence in managing my pension. I was pleased with how easily the transfer went through. I would happily use the service again.,5,pension_transfer,2025-01-25
116,Good digital experience,I found the app simple to use and reliable. The online experience was smooth and straightforward. No real complaints from me.,5,website_app,2025-03-26
117,Helpful retirement projection,The retirement estimate information was presented well. Very satisfied overall.,5,retirement_projection,2024-06-07
118,Login process was okay,"It took a little time to sign in properly, but it was resolved. It was manageable, just not especially smooth. Nothing terrible, but not especially impressive either.",3,login_access,2025-11-21
119,Support fixed my login issue,Support helped me regain access to the account very quickly. A positive experience all round.,5,login_access,2025-07-08
120,Contributions showing correctly,My contributions have been processed correctly and clearly shown. I would recommend them.,5,contributions,2024-04-02
121,No trouble logging in now,"I had a login issue at first, but it was resolved quickly. The whole experience felt straightforward. Very satisfied overall.",5,login_access,2024-02-27
122,Easy verification process,The verification process was handled efficiently. The information provided was clear. A positive experience all round.,5,identity_verification,2024-07-03
123,Strong growth so far,I have been pleased with how my pension pot has grown. Very satisfied overall.,5,fund_performance,2025-08-20
124,Pension transfer taking too long,I found moving my pension frustrating and unclear. Not a good experience overall.,1,pension_transfer,2025-04-21
125,Move from old provider was simple,The process of moving my old pension was straightforward. The whole experience felt straightforward. Very satisfied overall.,4,pension_transfer,2025-03-10
126,No issues with contributions,I had no issues with how contributions were handled. It gave me more confidence in managing my pension. A positive experience all round.,5,contributions,2025-01-25
127,Very helpful team,I was impressed by how professional the customer service was. The whole experience felt straightforward. The team made the whole process much easier for me. I would happily use the service again.,5,customer_service,2025-08-02
128,Login process was okay,"It took a little time to sign in properly, but it was resolved. The login process was fine in the end, just not especially smooth. Nothing terrible, but not especially impressive either.",5,login_access,2024-07-13
129,Costs seem too high,The charges seemed disappointing and poor value. This needs improvement.,1,fees_charges,2024-11-12
130,Employer contributions reflected properly,My contributions have been processed correctly and clearly shown. The information provided was clear. Employer contributions appeared as expected and without delay. I would happily use the service again.,5,contributions,2025-03-01
131,Helpful support team,The support team resolved my issue quickly. I would recommend them.,5,customer_service,2025-05-28
132,Online account is simple to navigate,I found the app simple to use and reliable. A positive experience all round.,4,website_app,2024-10-29
133,Retirement process took too long,Accessing my pension has been more stressful than expected. The withdrawal process took too long and was not clear enough. Not a good experience overall.,1,withdrawals_retirement,2025-11-21
134,Average value for money,The costs were about what I expected. The fees were okay overall. It was acceptable overall.,5,fees_charges,2025-11-19
135,Great service from support,The team made the whole process much easier for me. The information provided was clear. A positive experience all round.,5,customer_service,2025-07-28
136,Move from old provider was simple,The process of moving my old pension was straightforward. Very satisfied overall.,5,pension_transfer,2025-10-26
137,Retirement estimates easy to understand,The retirement projection was clear and helpful. Everything felt well organised. The retirement estimate information was presented well. I would recommend them.,5,retirement_projection,2024-08-28
138,Smooth website and app,I found the app simple to use and reliable. No real complaints from me.,5,website_app,2025-07-07
139,Retirement support was helpful,Taking money from the pension was easier than I expected. No real complaints from me.,5,withdrawals_retirement,2024-10-13
140,Happy with fund performance,Returns have looked solid and the information provided was clear. The information provided was clear. I would recommend them.,5,fund_performance,2025-12-03
141,Move from old provider was simple,Everything around the transfer was clearly explained and completed efficiently. The information provided was clear. Very satisfied overall.,5,pension_transfer,2025-04-10
142,Website easy to use,I found the app simple to use and reliable. The online experience was smooth and straightforward. I would happily use the service again.,4,website_app,2024-05-08
143,Pension transfer was straightforward,The process of moving my old pension was straightforward. Very satisfied overall.,5,pension_transfer,2024-08-26
144,No issues with contributions,The payment records were easy to understand and everything matched up. The information provided was clear. I would happily use the service again.,5,contributions,2024-06-27
145,Transfer completed smoothly,My pension transfer was handled smoothly from start to finish. The information provided was clear. I would recommend them.,5,pension_transfer,2024-09-28
146,Poor customer service,The support team did not help enough with my issue. Not a good experience overall.,1,customer_service,2025-01-05
147,Verification was straightforward,The identity verification process was quick and straightforward. No real complaints from me.,5,identity_verification,2025-11-05
148,Useful pension forecast,The projection tools gave me a useful picture of my retirement planning. The retirement estimate information was presented well. No real complaints from me.,5,retirement_projection,2025-03-12
149,Trouble logging in,I was locked out and it took too long to sort out. The process felt more difficult than it needed to be. The password reset process did not work properly for me. Not a good experience overall.,1,login_access,2024-10-08
150,Support fixed my login issue,The access problem was sorted without much hassle. No real complaints from me.,5,login_access,2025-09-11
151,Good returns overall,The fund performance has been stronger than I expected. Very satisfied overall.,5,fund_performance,2024-08-08
152,Customer service was brilliant,"The team made the whole process much easier for me. It gave me more confidence in managing my pension. Customer service was polite, efficient and helpful. I would recommend them.",4,customer_service,2024-11-16
153,Projection information not helpful,The estimates were unclear and left me with more questions. This needs improvement.,2,retirement_projection,2024-03-28
154,Login issue resolved quickly,Support helped me regain access to the account very quickly. Getting back into my account was easier than expected. Very satisfied overall.,5,login_access,2025-08-23
155,Smooth website and app,The online experience was smooth and straightforward. It gave me more confidence in managing my pension. Very satisfied overall.,5,website_app,2024-10-21
156,Smooth website and app,The online experience was smooth and straightforward. The information provided was clear. Using the website made managing my pension much easier. A positive experience all round.,4,website_app,2024-04-20
157,No issues with contributions,Employer contributions appeared as expected and without delay. Very satisfied overall.,5,contributions,2025-07-28
158,Contribution process was smooth,My contributions have been processed correctly and clearly shown. I would happily use the service again.,5,contributions,2024-07-03
159,Average verification experience,"It was fine in the end, just a fairly average process. Nothing really stood out either way. Nothing terrible, but not especially impressive either.",4,identity_verification,2025-02-14
160,Transfer completed smoothly,The process of moving my old pension was straightforward. The information provided was clear. I was pleased with how easily the transfer went through. Very satisfied overall.,5,pension_transfer,2025-01-13
161,Online account is simple to navigate,The online experience was smooth and straightforward. I would happily use the service again.,5,website_app,2025-09-24
162,Transfer completed smoothly,My pension transfer was handled smoothly from start to finish. It gave me more confidence in managing my pension. A positive experience all round.,5,pension_transfer,2024-10-06
163,Good value overall,The fees seem fair for the service being provided. The whole experience felt straightforward. A positive experience all round.,5,fees_charges,2025-06-23
164,Online account is simple to navigate,The website was clear and easy to navigate. Everything felt well organised. The online experience was smooth and straightforward. I would recommend them.,5,website_app,2024-05-20
165,Disappointing customer service,I found the service frustrating and harder than it should have been. The experience felt poorly managed. I would be hesitant to recommend them.,1,customer_service,2025-01-24
166,Withdrawal process went well,Taking money from the pension was easier than I expected. I would happily use the service again.,5,withdrawals_retirement,2025-02-10
167,Verification process was smooth,I found the ID checks clear and easy to complete. The verification process was handled efficiently. Very satisfied overall.,5,identity_verification,2025-08-10
168,Service team was fine,"Support was fine, although not especially memorable. It more or less did the job. Nothing terrible, but not especially impressive either.",3,customer_service,2025-09-24
169,Password reset did not work,Getting access to the account has been frustrating. The process felt more difficult than it needed to be. I was locked out and it took too long to sort out. I expected much better.,1,login_access,2025-02-09
170,Move from old provider was simple,Everything around the transfer was clearly explained and completed efficiently. The information provided was clear. My pension transfer was handled smoothly from start to finish. I would recommend them.,5,pension_transfer,2024-07-17
171,Online account is simple to navigate,The online experience was smooth and straightforward. The information provided was clear. I found the app simple to use and reliable. I would recommend them.,5,website_app,2025-11-02
172,Slow response from support,I found the service frustrating and harder than it should have been. The process felt more difficult than it needed to be. I would be hesitant to recommend them.,1,customer_service,2024-10-08
173,Support fixed my login issue,"I had a login issue at first, but it was resolved quickly. Support helped me regain access to the account very quickly. A positive experience all round.",5,login_access,2025-01-12
174,Pension performing well,The fund performance has been stronger than I expected. Very satisfied overall.,4,fund_performance,2025-07-21
175,Excellent customer service,The team made the whole process much easier for me. I would happily use the service again.,5,customer_service,2024-03-04
176,No major problems with payments,"The contribution process seemed okay overall. Payments were reflected eventually and the process was acceptable. Nothing terrible, but not especially impressive either.",3,contributions,2025-12-25
177,Retirement estimates easy to understand,The retirement estimate information was presented well. The projection tools gave me a useful picture of my retirement planning. I would happily use the service again.,5,retirement_projection,2025-01-31
178,Good digital experience,The online experience was smooth and straightforward. The whole experience felt straightforward. The website was clear and easy to navigate. I would happily use the service again.,5,website_app,2025-01-30
179,Great service from support,I was impressed by how professional the customer service was. The support team resolved my issue quickly. I would happily use the service again.,5,customer_service,2024-11-13
180,Not happy with investment performance,The returns have been weaker than I expected. The investment performance has been underwhelming for me. I came away disappointed.,1,fund_performance,2024-12-02
181,Access problem sorted,"I had a login issue at first, but it was resolved quickly. The access problem was sorted without much hassle. No real complaints from me.",5,login_access,2024-08-07
182,Login process is frustrating,I was locked out and it took too long to sort out. Communication could have been better. Getting access to the account has been frustrating. This needs improvement.,1,login_access,2024-04-13
183,Contribution process was smooth,My contributions have been processed correctly and clearly shown. A positive experience all round.,5,contributions,2024-06-06
184,Helpful support team,The support team resolved my issue quickly. The team made the whole process much easier for me. I would happily use the service again.,5,customer_service,2025-01-08
185,Forecast tools were useful,The retirement estimate information was presented well. It gave me more confidence in managing my pension. I found the pension forecast easy to understand. I would happily use the service again.,4,retirement_projection,2025-04-25
186,Access problem sorted,The access problem was sorted without much hassle. I would happily use the service again.,5,login_access,2025-01-26
187,Pleased with investment performance,The investment performance has given me more confidence in my pension. I would recommend them.,5,fund_performance,2024-09-13
188,Login issue resolved quickly,"Support helped me regain access to the account very quickly. I had a login issue at first, but it was resolved quickly. A positive experience all round.",5,login_access,2024-06-13
189,Easy verification process,I found the ID checks clear and easy to complete. It gave me more confidence in managing my pension. My documents were checked without any issues. I would happily use the service again.,5,identity_verification,2024-12-23
190,Helpful retirement projection,The retirement estimate information was presented well. The whole experience felt straightforward. The retirement projection was clear and helpful. Very satisfied overall.,4,retirement_projection,2024-01-29
191,Retirement process took too long,Accessing my pension has been more stressful than expected. I was unhappy with how difficult it was to take my pension. I would be hesitant to recommend them.,1,withdrawals_retirement,2025-04-28
192,Good value overall,The cost structure seemed reasonable and clear. No real complaints from me.,5,fees_charges,2024-08-08
193,Forecast tools were useful,The retirement estimate information was presented well. The retirement projection was clear and helpful. Very satisfied overall.,5,retirement_projection,2025-03-05
194,Smooth website and app,Using the website made managing my pension much easier. It gave me more confidence in managing my pension. Very satisfied overall.,5,website_app,2025-06-11
195,Support fixed my login issue,Getting back into my account was easier than expected. Everything felt well organised. I would recommend them.,5,login_access,2025-03-02
196,Helpful support team,"Customer service was polite, efficient and helpful. I would happily use the service again.",5,customer_service,2025-04-26
197,Contributions showing correctly,I had no issues with how contributions were handled. Everything felt well organised. My contributions have been processed correctly and clearly shown. A positive experience all round.,5,contributions,2025-11-03
198,Charges seem fair,The overall value for money feels good to me. The whole experience felt straightforward. I would recommend them.,5,fees_charges,2025-12-02
199,Good returns overall,The investment performance has given me more confidence in my pension. I would recommend them.,5,fund_performance,2024-07-25
200,Website easy to use,I found the app simple to use and reliable. The whole experience felt straightforward. Very satisfied overall.,5,website_app,2025-07-10
201,Good returns overall,Returns have looked solid and the information provided was clear. Very satisfied overall.,5,fund_performance,2024-02-18
202,Retirement process took too long,I was unhappy with how difficult it was to take my pension. I expected much better.,1,withdrawals_retirement,2025-03-26
203,No major problems with payments,Contribution records looked mostly fine to me. There is room for improvement.,3,contributions,2025-06-15
204,Great service from support,"Customer service was polite, efficient and helpful. The information provided was clear. No real complaints from me.",5,customer_service,2024-03-22
205,Projection info was clear,The projection tools gave me a useful picture of my retirement planning. It gave me more confidence in managing my pension. The retirement estimate information was presented well. A positive experience all round.,5,retirement_projection,2024-02-13
206,Frustrating transfer process,There were delays and not enough updates during the transfer. I would be hesitant to recommend them.,1,pension_transfer,2025-11-18
207,Frustrating support experience,I found the service frustrating and harder than it should have been. I came away disappointed.,1,customer_service,2024-05-26
208,Verification was straightforward,I found the ID checks clear and easy to complete. The information provided was clear. Very satisfied overall.,5,identity_verification,2025-01-27
209,Lower growth than expected,I am disappointed with the recent fund performance. The experience felt poorly managed. I came away disappointed.,1,fund_performance,2024-03-19
210,Withdrawal process went well,Taking money from the pension was easier than I expected. The whole experience felt straightforward. I would happily use the service again.,3,withdrawals_retirement,2024-04-26
211,Excellent customer service,The support team resolved my issue quickly. No real complaints from me.,5,customer_service,2024-09-23
212,Happy with the fee structure,I was happy with the transparency around charges. It gave me more confidence in managing my pension. I would happily use the service again.,5,fees_charges,2025-04-07
213,Easy pension transfer,I was pleased with how easily the transfer went through. Very satisfied overall.,5,pension_transfer,2025-11-14
214,Projection info was clear,The retirement projection was clear and helpful. I would happily use the service again.,4,retirement_projection,2025-12-29
215,Accessing pension was easy,The retirement withdrawal process was handled clearly and efficiently. The information provided was clear. I would happily use the service again.,5,withdrawals_retirement,2025-05-20
216,Transfer completed smoothly,Everything around the transfer was clearly explained and completed efficiently. I would happily use the service again.,4,pension_transfer,2024-05-12
217,Nothing special but useful enough,"The retirement projection was okay, but not especially detailed. It was manageable, just not especially smooth. It was acceptable overall.",5,retirement_projection,2025-08-11
218,Happy with fund performance,I have been pleased with how my pension pot has grown. A positive experience all round.,5,fund_performance,2024-12-18
219,Access problem sorted,Getting back into my account was easier than expected. Everything felt well organised. I would recommend them.,5,login_access,2024-11-07
220,Helpful support team,The support team resolved my issue quickly. I was impressed by how professional the customer service was. A positive experience all round.,5,customer_service,2024-09-13
221,App works really well,The online experience was smooth and straightforward. I would recommend them.,5,website_app,2025-10-18
222,Very helpful team,"Customer service was polite, efficient and helpful. The whole experience felt straightforward. Very satisfied overall.",5,customer_service,2025-03-02
223,Locked out of account,I have had repeated trouble logging into my account. Not a good experience overall.,1,login_access,2024-11-05
224,Transfer process went well,The process of moving my old pension was straightforward. Everything felt well organised. No real complaints from me.,5,pension_transfer,2025-03-01
225,Transfer process went well,I was pleased with how easily the transfer went through. The information provided was clear. Everything around the transfer was clearly explained and completed efficiently. I would recommend them.,4,pension_transfer,2024-12-19
226,Retirement estimates easy to understand,I found the pension forecast easy to understand. A positive experience all round.,4,retirement_projection,2024-09-30
227,Retirement support was helpful,Taking money from the pension was easier than I expected. The whole experience felt straightforward. I would recommend them.,5,withdrawals_retirement,2025-03-04
228,App works fine overall,"The app was acceptable, though not especially polished. Nothing terrible, but not especially impressive either.",5,website_app,2024-06-12
229,Good returns overall,The investment performance has given me more confidence in my pension. No real complaints from me.,5,fund_performance,2025-02-06
230,Withdrawal process went well,I was pleased with how straightforward the pension access process was. The whole experience felt straightforward. The retirement withdrawal process was handled clearly and efficiently. I would recommend them.,5,withdrawals_retirement,2025-10-31
231,Retirement estimates easy to understand,The projection tools gave me a useful picture of my retirement planning. Everything felt well organised. I would happily use the service again.,5,retirement_projection,2025-01-09
